city,state,tech_employer_count,vc_investment_usd,cost_of_living_index,safety_index,asian_population_pct,median_household_income,climate_zone,finance_hub_distance_km,federal_lab_count,nsf_funding_total,data_year
Stanford,CA,8500,95000000000,178.2,0.72,35.4,168400,Mediterranean,540,5,4200000000,2025
Cambridge,MA,4200,28000000000,162.4,0.65,18.7,104000,Humid continental,310,3,3800000000,2025
Pittsburgh,PA,1800,3200000000,95.8,0.62,5.8,65200,Humid continental,490,2,1500000000,2025
Berkeley,CA,7200,85000000000,172.5,0.58,33.2,128900,Mediterranean,560,4,3900000000,2025
Atlanta,GA,3500,7500000000,103.2,0.55,6.8,71200,Humid subtropical,1220,1,1200000000,2025
Champaign,IL,320,180000000,88.4,0.70,12.1,49800,Humid continental,820,1,800000000,2025
West Lafayette,IN,280,120000000,86.2,0.74,10.5,46500,Humid continental,780,0,600000000,2025
Madison,WI,950,650000000,102.8,0.75,8.2,72800,Humid continental,610,0,900000000,2025
University Park,PA,150,80000000,92.5,0.82,8.8,52000,Humid continental,420,1,750000000,2025
Tempe,AZ,2200,2800000000,103.5,0.58,5.5,67300,Hot desert,590,1,500000000,2025
Princeton,NJ,3800,6500000000,131.4,0.78,22.5,130500,Humid subtropical,85,2,1100000000,2025
New Haven,CT,800,1200000000,115.8,0.52,5.2,45600,Humid continental,120,0,950000000,2025
New York,NY,12000,45000000000,187.2,0.58,16.4,76100,Humid subtropical,0,2,2800000000,2025
Philadelphia,PA,3200,5800000000,114.6,0.52,7.8,52600,Humid subtropical,140,1,1600000000,2025
Ithaca,NY,180,90000000,104.2,0.78,14.2,48500,Humid continental,380,1,650000000,2025
Providence,RI,650,450000000,108.5,0.60,4.8,51000,Humid continental,280,0,400000000,2025
Hanover,NH,120,60000000,118.6,0.85,6.5,80200,Humid continental,350,0,350000000,2025
Durham,NC,2800,4200000000,98.6,0.62,6.2,64700,Humid subtropical,880,1,2200000000,2025
Evanston,IL,3800,6200000000,112.8,0.60,10.5,85600,Humid continental,1050,3,1400000000,2025
Baltimore,MD,2400,2800000000,106.2,0.45,6.1,55400,Humid subtropical,50,5,2600000000,2025
Pasadena,CA,6800,78000000000,168.4,0.68,18.5,84600,Mediterranean,580,3,3200000000,2025
Chicago,IL,5200,9800000000,107.5,0.52,7.6,65000,Humid continental,0,3,1800000000,2025
